,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
98055,18499041,ONLINETPU,0,0,1,
2303276,758683,DIGITAL,0,0,1,
1426253,16174077,,0,0,0,
793910,2758581,ONLINETPU,0,0,1,
2233187,17795391,NBSC,0,0,1,
1870505,8839869,ONLINETPU,0,1,1,
46263,18744537,DIGITAL,0,0,1,
2044849,5877173,CIC_SAL,0,0,1,
255539,21790253,NBSC,0,0,1,
213545,18291823,NBSC,0,0,1,
1159027,25007891,NEWCON,0,1,0,0.0
1125373,14312801,NBSC,0,0,1,
1056170,14259353,DIGITAL,0,0,1,
423801,22709191,DIGITAL,0,0,1,
2097017,11513517,NBSC,0,0,1,0.0
883832,22792221,NBSC,0,0,1,0.0
1579263,24054897,NBSC,0,0,1,0.0
1652654,24265033,ONLINETPU,0,0,0,
831096,13666005,DATACOM,0,0,1,
1447199,17451471,NEWCON,0,0,1,
1088075,21087511,NBSC,0,0,1,0.0
333761,25491281,ONLINETPU,0,1,0,
159620,1853699,NAV,0,0,1,
1243028,13063875,CST,0,0,1,
1948697,24243203,ONLINETPU,0,0,1,
659131,14058613,NBSC,0,0,1,
1391543,13896129,ONLINETPU,0,1,0,
2075533,12189161,NBSC,0,0,1,
1266416,24126035,NBSC,0,0,1,
1577655,24903637,ONLINETPU,0,1,0,
1825595,15025743,CIC_SAL,0,0,1,
1567973,17634213,NBSC,0,0,1,
1726337,23629863,ONLINETPU,0,0,1,
1881638,6393909,NBSC,0,0,1,
644547,23969477,ONLINETPU,0,0,1,
1517440,16598565,ONLINETPU,0,0,1,
1117366,2514931,ONLINETPU,0,1,1,
1959927,7486467,NBSC,0,1,1,
1402847,1435361,CST,0,0,1,
292243,3555705,NBSC,0,0,1,
1608212,18288801,ONLINETPU,0,0,1,0.0
362937,20742489,NBSC,0,0,1,
1771007,2662023,CST,0,0,1,
2286588,9245911,,0,0,0,
41953,3863451,DIGITAL,0,0,1,
486289,19686609,DIGITAL,0,0,1,
1075677,21946661,NBSC,0,0,1,
794389,271521,NBSCADMIN,0,0,1,
1527133,666079,NBSC,0,0,1,
814977,18892449,ONLINETPU,0,0,1,0.0
352121,23823121,NBSC,0,0,1,
386043,23794435,NBSC,0,0,0,
1161897,24826475,ONLINETPU,0,0,1,
704561,7860427,ONLINETPU,0,1,1,0.0
886073,541183,NBSC,0,0,1,
403544,25145263,DIGITAL,0,0,1,
408797,14777541,NBSC,0,0,1,
1913591,16987841,ONLINETPU,0,0,1,
2102172,3742325,,0,0,0,
1003926,21534133,DIGITAL,0,0,1,
1512845,19792119,NEWCON,0,1,1,
704184,9155165,CST,0,0,1,
2018038,384257,NBSC,0,0,1,
